1 9001 play scene7 0 0
4 9001 blit stone 5 .5
4 9001 blit stone 6 .5
4 9001 blit stone 7 .5
4 9001 blit stone 8 .5
4 9001 blit stone 9 .5
4 9001 blit stone 10 .5
4 9001 blit stone 11 .5
4 9001 blit stone 12 .5
4 9001 blit stone 13 .5
4 9001 blit stone 3 1.5
4 9001 blit stone 4 1.5
4 9001 blit stone 5 1.5
4 9001 blit stone 13 1.5
4 9001 blit stone 14 1.5
4 9001 blit stone 15 1.5
4 9001 blit stone 2 2.5
4 9001 blit stone 3 2.5
4 9001 blit stone 15 2.5
4 9001 blit stone 16 2.5
4 9001 blit stone 16 3.5
4 9001 blit stone 17 3.5
4 9001 blit stone 18 3.5
4 9001 blit stone 19 3.5
4 9001 blit stone 20 3.5
4 9001 blit stone 21 3.5
4 9001 blit stone 22 3.5
4 9001 blit stone 23 3.5
4 9001 blit stone 24 3.5
4 9001 blit stone 25 3.5
4 9001 blit stone 26 3.5
4 9001 blit stone 27 3.5
4 9001 blit stone 28 3.5
4 9001 blit stone 29 3.5
4 9001 blit stone 30 3.5
4 9001 blit stone 31 3.5
4 9001 blit stone 32 3.5
4 9001 blit stone 33 3.5
4 9001 blit stone 34 3.5
4 9001 blit stone 35 3.5
4 9001 blit stone 2 3
4 9001 blit stone 2 4
4 9001 blit stone 2 5
4 9001 blit stone 2 6
4 9001 blit stone 2 7
4 9001 blit stone 2 8
4 9001 blit stone 3 8
4 9001 blit stone 4 8
4 9001 blit stone 5 8
4 9001 blit stone 6 8
4 9001 blit stone 7 8
4 9001 blit stone 8 8
4 9001 blit stone 9 8
4 9001 blit stone 10 8
4 9001 blit stone 11 8
4 9001 blit stone 12 8
4 9001 blit stone 13 8
4 9001 blit stone 14 8
4 9001 blit stone 15 8
4 9001 blit stone 16 8
4 9001 blit stone 17 8
4 9001 blit stone 18 8
4 9001 blit stone 19 8
4 9001 blit stone 20 8
4 9001 blit stone 21 8
4 9001 blit stone 22 8
4 9001 blit stone 23 8
4 9001 blit stone 24 8
4 9001 blit stone 25 8
4 9001 blit stone 26 8
4 9001 blit stone 27 8
4 9001 blit stone 28 8
4 9001 blit stone 29 8
4 9001 blit stone 30 8
4 9001 blit stone 31 8
4 9001 blit stone 32 8
4 9001 blit stone 33 8
4 9001 blit stone 34 8
4 9001 blit stone 35 8
4 9001 blit stone 36 8
4 9001 blit king 7 3
5 5.05 blit aarakEnhanced 35 5
5.051 5.1 blit aarakEnhanced 34.5 5
5.101 5.15 blit aarakEnhanced 34 5
5.151 5.2 blit aarakEnhanced 33.5 5
5.201 5.25 blit aarakEnhanced 33 5
5.251 5.3 blit aarakEnhanced 32.5 5
5.301 5.35 blit aarakEnhanced 32 5
5.351 5.4 blit aarakEnhanced 31.5 5
5.401 5.45 blit aarakEnhanced 31 5
5.451 5.5 blit aarakEnhanced 30.5 5
5.501 5.55 blit aarakEnhanced 30 5
5.551 5.6 blit aarakEnhanced 29.5 5
5.601 5.65 blit aarakEnhanced 29 5
5.651 5.7 blit aarakEnhanced 28.5 5
5.701 5.75 blit aarakEnhanced 28 5
5.751 5.8 blit aarakEnhanced 27.5 5
5.801 5.85 blit aarakEnhanced 27 5
5.851 5.9 blit aarakEnhanced 26.5 5
5.901 5.95 blit aarakEnhanced 26 5
5.951 6.0 blit aarakEnhanced 25.5 5
6.001 6.05 blit aarakEnhanced 25 5
6.051 6.1 blit aarakEnhanced 24.5 5
6.101 6.15 blit aarakEnhanced 24 5
6.151 6.2 blit aarakEnhanced 23.5 5
6.201 6.25 blit aarakEnhanced 23 5
6.251 6.3 blit aarakEnhanced 22.5 5
6.301 6.35 blit aarakEnhanced 22 5
6.351 6.4 blit aarakEnhanced 21.5 5
6.401 6.45 blit aarakEnhanced 21 5
6.451 6.5 blit aarakEnhanced 20.5 5
6.501 6.55 blit aarakEnhanced 20 5
6.551 6.6 blit aarakEnhanced 19.5 5
6.601 6.65 blit aarakEnhanced 19 5
6.651 6.7 blit aarakEnhanced 18.5 5
6.701 6.75 blit aarakEnhanced 18 5
6.751 6.8 blit aarakEnhanced 17.5 5
6.801 6.85 blit aarakEnhanced 17 5
6.851 6.9 blit aarakEnhanced 16.5 5
6.901 6.95 blit aarakEnhanced 16 5
6.951 7.0 blit aarakEnhanced 15.5 5
7.001 7.05 blit aarakEnhanced 15 5
7.051 7.1 blit aarakEnhanced 14.5 5
7.101 7.15 blit aarakEnhanced 14 5
7.151 7.2 blit aarakEnhanced 13.5 5
7.201 9001 blit aarakEnhanced 13 5
7.3 9001 text s7l1 5 11
11.4 9001 text s7l2 3 15
13.5 9001 play2 scene72 0 0
22.4 9001 end end 0 0
